iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2021-11-02,156307.0,23.0,33.714,7281.0,0.0,2.714,3923.819,0.577,0.846,182.777,0.0,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2021-11-02,8507361.0,3919.0,4269.857,218561.0,166.0,174.571,6193.99,2.853,3.109,159.129,0.121,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-11-02,186222.0,725.0,516.0,2937.0,6.0,7.0,64819.449,252.355,179.607,1022.3,2.088,2.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2021-11-02,206649.0,83.0,94.143,5927.0,3.0,4.0,4631.659,1.86,2.11,132.843,0.067,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2021-11-02,15516.0,0.0,13.0,130.0,0.0,0.0,200584.327,0.0,168.059,1680.585,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2021-11-02,64487.0,29.0,64.857,1713.0,0.0,1.571,1900.387,0.855,1.911,50.481,0.0,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
ATG,North America,Antigua and Barbuda,2021-11-02,4069.0,7.0,5.429,102.0,0.0,0.429,41214.245,70.902,54.985,1033.142,0.0,4.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2021-11-02,5291285.0,1340.0,1183.571,116010.0,21.0,20.571,116022.136,29.382,25.952,2543.754,0.46,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2021-11-02,310629.0,1232.0,1794.286,6441.0,62.0,47.0,104654.853,415.076,604.518,2170.055,20.889,15.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
OWID_ASI,,Asia,2021-11-02,79571893.0,111941.0,101046.857,1178919.0,1482.0,1639.0,17008.192,23.927,21.598,251.989,0.317,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4678444992.0,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2021-11-02,174276.0,1111.0,1487.143,1768.0,12.0,14.143,6757.97,43.082,57.668,68.558,0.465,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2021-11-02,840902.0,5398.0,5153.857,11380.0,11.0,14.429,92988.533,596.921,569.923,1258.422,1.216,1.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2021-11-02,534748.0,2178.0,2097.143,7132.0,31.0,27.571,52306.564,213.042,205.133,697.619,3.032,2.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BHS,North America,Bahamas,2021-11-02,22429.0,22.0,24.286,643.0,0.0,0.143,56508.463,55.428,61.186,1619.998,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,2021-11-02,276917.0,43.0,40.286,1393.0,0.0,0.0,158392.605,24.595,23.043,796.776,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BGD,Asia,Bangladesh,2021-11-02,1569982.0,229.0,246.429,27873.0,3.0,5.571,9440.463,1.377,1.482,167.603,0.018,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,2021-11-02,18459.0,436.0,346.571,158.0,2.0,2.143,64158.8,1515.425,1204.594,549.168,6.951,7.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,2021-11-02,604037.0,1979.0,1973.0,4662.0,16.0,16.571,63967.543,209.576,208.941,493.706,1.694,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BEL,Europe,Belgium,2021-11-02,1360650.0,0.0,3814.714,25994.0,0.0,11.429,116971.366,0.0,327.941,2234.633,0.0,0.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,2021-11-02,27305.0,156.0,164.714,499.0,4.0,2.429,67433.906,385.266,406.787,1232.357,9.879,5.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,2021-11-02,24749.0,0.0,10.143,161.0,0.0,0.0,1987.707,0.0,0.815,12.931,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BTN,Asia,Bhutan,2021-11-02,2621.0,0.0,0.571,3.0,0.0,0.0,3360.687,0.0,0.733,3.847,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,2021-11-02,513810.0,0.0,477.143,18928.0,0.0,3.571,43422.021,0.0,40.323,1599.603,0.0,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BIH,Europe,Bosnia and Herzegovina,2021-11-02,255054.0,706.0,698.429,11654.0,47.0,33.0,78154.498,216.335,214.015,3571.058,14.402,10.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,2021-11-02,187281.0,0.0,185.143,2407.0,0.0,0.714,78123.592,0.0,77.232,1004.071,0.0,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,2021-11-02,21821124.0,6431.0,10305.714,608071.0,149.0,260.714,101970.995,30.052,48.159,2841.54,0.696,1.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
BRN,Asia,Brunei,2021-11-02,13321.0,75.0,103.714,89.0,0.0,1.0,30169.954,169.863,234.896,201.571,0.0,2.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,2021-11-02,614362.0,5863.0,4605.714,24454.0,145.0,144.857,89081.156,850.122,667.819,3545.777,21.025,21.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,2021-11-02,15103.0,310.0,44.286,221.0,7.0,1.0,702.56,14.421,2.06,10.28,0.326,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BDI,Africa,Burundi,2021-11-02,20087.0,9.0,19.0,38.0,0.0,0.0,1639.029,0.734,1.55,3.101,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,2021-11-02,118787.0,174.0,112.429,2807.0,13.0,8.0,7009.552,10.268,6.634,165.639,0.767,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2021-11-02,102499.0,0.0,315.714,1686.0,0.0,12.286,3764.987,0.0,11.597,61.93,0.0,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
